Line(0) This is a sentance, cool right? 
Line(1) This is a sentance, cool right? 
Line(2) This is a sentance, cool right? 
Line(3) This is a sentance, cool right? 
Line(4) This is a sentance, cool right? 
Line(5) This is a sentance, cool right? 
Line(6) This is a sentance, cool right? 
Line(7) This is a sentance, cool right? 
Line(8) This is a sentance, cool right? 
Line(9) This is a sentance, cool right? 
Line(10) This is a sentance, cool right? 
Line(11) This is a sentance, cool right? 
Line(12) This is a sentance, cool right? 
Line(13) This is a sentance, cool right? 
Line(14) This is a sentance, cool right? 
Line(15) This is a sentance, cool right? 
